Variant,Test_Name,Vac_Status,Incubation_Period,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60
Omicron,RT-PCR,Unvaccinated,11,5.88E-24,2.77E-17,0.000960218,0.043497465,0.215289347,0.470567917,0.709085678,0.878350461,0.970433041,0.998152189,0.979993071,0.894888001,0.762414369,0.627037697,0.505691992,0.403532611,0.320347889,0.253848745,0.201216495,0.159764858,0.127177247,0.101552416,0.081371648,0.065440175,0.052826014,0.042805279,0.034816629,0.028424702,0.023291394,0.019153571,0.015805898,0.013087655,0.010872633,0.009061382,0.007575266,0.006351885,0.005341548,0.004504546,0.003809037,0.003229402,0.002744954,0.002338941,0.00199775,0.001710284,0.001467471,0.001261873,0.001087371,0.000938922,0.000817758,0.00074239,0.00070411,0.000685173,0.000675667,0.000670813,0.000668305,0.000667,0.000666318,0.00066596,0.000665773,0.000665675
Omicron,RT-PCR,Unvaccinated,12,6.03E-24,2.09E-24,0.000160806,0.019348408,0.134612883,0.350153189,0.586823203,0.782334799,0.91333658,0.98132697,0.998326597,0.978414676,0.892260189,0.759408686,0.624215703,0.503260501,0.401527784,0.318734115,0.252566817,0.200205189,0.158969465,0.126552031,0.10106047,0.080983767,0.065133509,0.052582787,0.042611702,0.034662011,0.028300746,0.02319165,0.019073013,0.015740598,0.013034532,0.010829265,0.009025855,0.007546065,0.006327805,0.005321628,0.004488017,0.003795282,0.00321792,0.002735344,0.002330875,0.001990962,0.001704557,0.001462628,0.001257767,0.001083882,0.000935951,0.00081559,0.00074124,0.000703542,0.00068489,0.000675523,0.000670739,0.000668267,0.00066698,0.000666307,0.000665955,0.00066577
Omicron,RT-PCR,Unvaccinated,13,6.15E-24,2.59E-24,1.68E-05,0.007766002,0.079788306,0.251092193,0.470844323,0.67705248,0.835676202,0.937819456,0.988404161,0.997916935,0.976907466,0.889614283,0.756402745,0.621400869,0.500838289,0.399531982,0.317128217,0.251291407,0.199199128,0.158178225,0.125930075,0.100571071,0.080597875,0.064828395,0.052340774,0.042419076,0.03450814,0.028177379,0.023092372,0.018992825,0.015675592,0.012981645,0.010786085,0.008990481,0.007516988,0.006303826,0.005301791,0.004471555,0.00378158,0.003206483,0.002725771,0.00232284,0.0019842,0.001698852,0.001457803,0.001253676,0.001080405,0.000932991,0.000813447,0.000740107,0.000702982,0.000684611,0.000675382,0.000670667,0.000668229,0.00066696,0.000666297,0.000665949
Omicron,RT-PCR,Unvaccinated,14,6.26E-24,3.05E-24,8.06E-07,0.002762789,0.04469199,0.173666612,0.367198988,0.571258169,0.746290603,0.87493899,0.955226842,0.992993509,0.997183856,0.975477064,0.886950837,0.753396807,0.618593293,0.498425375,0.397545193,0.315530172,0.250022492,0.198198289,0.157391118,0.125311364,0.100084207,0.080213961,0.064524825,0.052099968,0.042227397,0.034355013,0.028054598,0.022993559,0.018913006,0.01561088,0.012928993,0.010743095,0.008955258,0.007488033,0.006279946,0.005282034,0.00445516,0.003767933,0.003195091,0.002716234,0.002314835,0.001977463,0.001693168,0.001452995,0.001249599,0.00107694,0.000930042,0.000811329,0.000738991,0.000702431,0.000684336,0.000675243,0.000670595,0.000668192,0.000666941,0.000666287
Omicron,RT-PCR,Unvaccinated,15,6.34E-24,3.44E-24,8.35E-09,0.000847284,0.023539225,0.115810763,0.278746763,0.471020679,0.652363003,0.799463886,0.904189284,0.967763241,0.995923172,0.996280901,0.974105823,0.884270383,0.750391121,0.61579306,0.496021772,0.395567398,0.313939951,0.248760042,0.197202646,0.156608124,0.124695879,0.099599865,0.079832014,0.064222792,0.051860363,0.042036659,0.034202625,0.027932401,0.022895207,0.018833553,0.015546461,0.012876575,0.010700291,0.008920186,0.0074592,0.006256165,0.005262357,0.00443883,0.00375434,0.003183743,0.002706734,0.002306861,0.001970752,0.001687505,0.001448204,0.001245537,0.001073488,0.000927105,0.000809235,0.000737892,0.000701888,0.000684066,0.000675105,0.000670524,0.000668155,0.000666921
Omicron,RT-PCR,Unvaccinated,16,6.41E-24,3.78E-24,1.30E-12,0.000214408,0.011577157,0.074356085,0.206097901,0.380121517,0.559354803,0.717195566,0.840540616,0.926235145,0.976878448,0.997726763,0.995297285,0.972764606,0.881573452,0.747385909,0.613000243,0.49362748,0.393598568,0.312357519,0.247504024,0.19621217,0.155829217,0.124083601,0.09911803,0.079452024,0.063922285,0.051621953,0.041846857,0.034050974,0.027810784,0.022797314,0.018754465,0.015482331,0.012824388,0.010657674,0.008885265,0.007430488,0.006232482,0.005242761,0.004422565,0.0037408,0.003172439,0.002697271,0.002298916,0.001964065,0.001681862,0.00144343,0.001241489,0.001070047,0.000924178,0.000807166,0.000736809,0.000701353,0.000683799,0.00067497,0.000670454,0.000668119
Omicron,RT-PCR,Unvaccinated,17,6.47E-24,4.08E-24,9.62E-25,4.18E-05,0.005267712,0.045853986,0.148411686,0.300535232,0.471139823,0.632828885,0.768951438,0.872521075,0.943026085,0.983547224,0.99875791,0.994284361,0.971454806,0.878860579,0.744381422,0.610214937,0.491242517,0.391638692,0.310782852,0.246254415,0.19522684,0.155054381,0.123474516,0.098638689,0.07907398,0.063623299,0.051384731,0.041657986,0.033900055,0.027689745,0.022699878,0.01867574,0.015418491,0.012772433,0.010615243,0.008850493,0.007401898,0.006208898,0.005223245,0.004406366,0.003727314,0.00316118,0.002687843,0.002291002,0.001957403,0.00167624,0.001438674,0.001237456,0.001066619,0.000921264,0.000805122,0.000735743,0.000700826,0.000683536,0.000674836,0.000670386
Omicron,RT-PCR,Unvaccinated,18,6.53E-24,4.33E-24,1.32E-24,5.58E-06,0.002190161,0.027068084,0.104018313,0.232896836,0.390233999,0.549967931,0.693377223,0.810391888,0.897625622,0.955931022,0.988438693,0.999254649,0.993272948,0.970174445,0.876132255,0.741377883,0.607437209,0.488866887,0.389687742,0.309215918,0.245011179,0.194246627,0.15428359,0.122868605,0.098161828,0.078697873,0.063325823,0.05114869,0.041470041,0.033749864,0.02756928,0.022602896,0.018597375,0.015354939,0.012720709,0.010572997,0.00881587,0.007373428,0.006185412,0.005203808,0.004390231,0.003713881,0.003149963,0.002678452,0.002283117,0.001950765,0.001670638,0.001433935,0.001233436,0.001063203,0.000918361,0.000803103,0.000734693,0.000700308,0.000683277,0.000674705
Omicron,RT-PCR,Unvaccinated,19,6.57E-24,4.56E-24,1.69E-24,4.15E-07,0.000818106,0.015227231,0.070871775,0.176910746,0.318055172,0.471223961,0.617024408,0.743153745,0.843738877,0.917490426,0.965924266,0.992020973,0.999379338,0.992281559,0.968872593,0.873389017,0.73837553,0.604667155,0.486500611,0.387745714,0.307656698,0.243774298,0.193271512,0.15351683,0.122265856,0.097687437,0.078323692,0.063029852,0.050913826,0.041283019,0.033600398,0.027449387,0.022506367,0.01851937,0.015291674,0.012669213,0.010530935,0.008781395,0.007345078,0.006162022,0.005184451,0.004374162,0.003700501,0.003138791,0.002669096,0.002275262,0.001944152,0.001665057,0.001429213,0.001229432,0.001059798,0.00091547,0.000801109,0.000733658,0.000699797,0.000683022
Omicron,RT-PCR,Unvaccinated,20,6.61E-24,4.75E-24,2.05E-24,1.11E-08,0.000267999,0.00811716,0.046859153,0.131685405,0.255175906,0.398353227,0.542381262,0.673596922,0.784124888,0.870729113,0.933325504,0.973709071,0.99462726,0.999245003,0.991321033,0.967588163,0.870631335,0.735374555,0.601904819,0.484143667,0.385812559,0.306105144,0.242543726,0.192301457,0.15275407,0.121666243,0.097215498,0.077951423,0.062735375,0.050680131,0.041096913,0.033451652,0.027330061,0.022410288,0.018441723,0.015228693,0.012617945,0.010489056,0.008747068,0.007316847,0.00613873,0.005165172,0.004358156,0.003687174,0.003127662,0.002659776,0.002267436,0.001937564,0.001659496,0.001424508,0.001225441,0.001056406,0.000912592,0.000799139,0.00073264,0.000699294
