Test_Name,Sensitivity_Day_1,Sensitivity_Day_2,Sensitivity_Day_3,Sensitivity_Day_4,Sensitivity_Day_5,Sensitivity_Day_6,Sensitivity_Day_7,Sensitivity_Day_8,Sensitivity_Day_9,Sensitivity_Day_10,Sensitivity_Day_11,Sensitivity_Day_12,Sensitivity_Day_13,Sensitivity_Day_14,Sensitivity_Day_15,Sensitivity_Day_16,Sensitivity_Day_17,Sensitivity_Day_18,Sensitivity_Day_19,Sensitivity_Day_20,Sensitivity_Day_21,Sensitivity_Day_22,Sensitivity_Day_23,Sensitivity_Day_24,Sensitivity_Day_25,Sensitivity_Day_26,Sensitivity_Day_27,Sensitivity_Day_28,Sensitivity_Day_29,Sensitivity_Day_30,Sensitivity_Day_31,Sensitivity_Day_32,Sensitivity_Day_33,Sensitivity_Day_34,Sensitivity_Day_35,Sensitivity_Day_36,Sensitivity_Day_37,Sensitivity_Day_38,Sensitivity_Day_39,Sensitivity_Day_40,Sensitivity_Day_41,Sensitivity_Day_42,Sensitivity_Day_43,Sensitivity_Day_44,Sensitivity_Day_45,Sensitivity_Day_46,Sensitivity_Day_47,Sensitivity_Day_48,Sensitivity_Day_49,Sensitivity_Day_50,Sensitivity_Day_51,Sensitivity_Day_52,Sensitivity_Day_53,Sensitivity_Day_54,Sensitivity_Day_55,Sensitivity_Day_56,Sensitivity_Day_57,Sensitivity_Day_58,Sensitivity_Day_59,Sensitivity_Day_60
RT-PCR,0.0093135090490214,0.213321962502333,0.624525290552991,0.909466042791363,0.994548644069705,0.950318410318694,0.852962803738207,0.738357693470701,0.625187029694671,0.522268380479104,0.432782813853738,0.357000432175271,0.293839114143498,0.24170418631928,0.198914733459887,0.163902442248489,0.135289944370234,0.111908193552917,0.0927851549706083,0.07712282177415,0.0642711856288968,0.0537032639590619,0.0449928996873374,0.0377958342211014,0.0318339699294219,0.0268824876856124,0.0227594060368398,0.0193171719010273,0.0164359131523202,0.0140180357806381,0.0119839012258924,0.010268367807214,0.00881802148548235,0.00758895598960708,0.00654499057530338,0.00565623654745449,0.00489794203474978,0.00424955898486007,0.00369398798169422,0.0032169655827811,0.00280656611379526,0.00245279559687125,0.00214725997256216,0.00188289339645028,0.00165373520388245,0.00145474639764783,0.00128165831342846,0.00113084752780109,0.000999232233628094,0.000884422008689749,0.000793662814236757,0.000737353566632848,0.000705812234197213,0.000688355552923499,0.000678594745064427,0.00067306669848799,0.000669903995849968,0.000668082017953292,0.000667027797899605,0.000666416175281772
Abbot PanBio,0.00686603293384424,0.167401694159553,0.513062021533968,0.770512622217993,0.85648320755886,0.808181952866177,0.711889435608613,0.603564618985743,0.499466173452728,0.406840420999373,0.327913258275866,0.262403804989473,0.208933522851432,0.165767075592425,0.131175586467333,0.103596083131529,0.0816856191705458,0.06432400652745,0.0505938375811314,0.0397525297889212,0.031203583886569,0.0244702583085468,0.0191728145429651,0.0150094865172657,0.011740877746976,0.00917732488252599,0.00716874098778022,0.00559648918266287,0.00436689820468379,0.00340609600997405,0.002655897151862,0.00207053106024303,0.00161404084113659,0.00125821672603243,0.000980955852730736,0.000764961988063443,0.000596716217472744,0.000465663445575281,0.00036357058808769,0.000284021140399664,0.000222017875674084,0.00017367110414865,0.000135954487529024,0.000106514078217558,8.35192009574669e-05,6.55461612577305e-05,5.14876579988441e-05,4.04822865421008e-05,3.18597204507822e-05,2.51044970012919e-05,2.00430170428369e-05,1.65597503596745e-05,1.4093839725929e-05,1.22189600148847e-05,1.07060624865789e-05,9.43610550628742e-06,8.34419593574814e-06,7.39208134330318e-06,6.55511323954718e-06,5.81596554881586e-06
BTNX Rapid Response,0.00780365758641915,0.184993684285238,0.555763442904636,0.823745481930608,0.909375881827803,0.862634229524043,0.765934444244176,0.65520365597153,0.547629656407388,0.451060709701467,0.36808863731415,0.298643639629666,0.241460735290083,0.194858475758206,0.157126358272931,0.126699364370702,0.102221360655497,0.0825534415569247,0.0667572718486493,0.0540690360142483,0.0438717355399678,0.0356693816000117,0.029064452795457,0.0237389042291577,0.0194385130619412,0.0159601478155394,0.0131415028093918,0.0108528634071631,0.0089905208325107,0.0074715151897214,0.00622944237458915,0.00521111077175869,0.00437387567953384,0.00368351402137371,0.00311252971827969,0.00263880238264705,0.00224450977000704,0.00191526849724495,0.00163944880084963,0.00140762802536833,0.00121215466548952,0.00104680048727618,0.000906482786020592,0.000787042493089811,0.000685066740106192,0.000597746815198728,0.000522764303459202,0.000458199674742728,0.000402458767752513,0.000354307825422785,0.00031641567174248,0.000292694846171369,0.000279090182396618,0.000271245936453114,0.000266573276093867,0.000263672050986602,0.00026178682350852,0.000260501465509383,0.000259581268489597,0.000258890975474681
Artron,0.00641727261137076,0.156460406959582,0.479528556074232,0.720152320112241,0.80050391294717,0.755359603005643,0.665360714327004,0.564115951078178,0.466821325514642,0.380249543809872,0.306481019172869,0.245253229499965,0.195277737044149,0.154932626207299,0.12260201872437,0.0968250973059388,0.0763466898129938,0.0601198230942833,0.0472870508111228,0.0371543252275538,0.0291641339593422,0.0228708950204065,0.017919689409438,0.0140284743265947,0.0109735001164547,0.00857749972680533,0.0067001958251802,0.00523070557595288,0.00408148002137113,0.00318347535572738,0.00248230910272069,0.00193520223277617,0.00150854797570283,0.00117598033871005,0.000916841091114348,0.00071496447250374,0.000557715157507205,0.000435227926256635,0.000339807804552547,0.000265457667170928,0.000207506903407804,0.000162320051589914,0.00012706857331144,9.95523737588938e-05,7.80604296530573e-05,6.12620984304279e-05,4.81224515936909e-05,3.78363854609177e-05,2.97773857807964e-05,2.34636802038219e-05,1.8733015928926e-05,1.54774137348592e-05,1.31726737307702e-05,1.14203351773106e-05,1.00063198403972e-05,8.81936658430785e-06,7.79882365236591e-06,6.90893877184546e-06,6.12667446572056e-06,5.43583708157299e-06
