Test_Name,Sensitivity_Day_1,Sensitivity_Day_2,Sensitivity_Day_3,Sensitivity_Day_4,Sensitivity_Day_5,Sensitivity_Day_6,Sensitivity_Day_7,Sensitivity_Day_8,Sensitivity_Day_9,Sensitivity_Day_10,Sensitivity_Day_11,Sensitivity_Day_12,Sensitivity_Day_13,Sensitivity_Day_14,Sensitivity_Day_15,Sensitivity_Day_16,Sensitivity_Day_17,Sensitivity_Day_18,Sensitivity_Day_19,Sensitivity_Day_20,Sensitivity_Day_21,Sensitivity_Day_22,Sensitivity_Day_23,Sensitivity_Day_24,Sensitivity_Day_25,Sensitivity_Day_26,Sensitivity_Day_27,Sensitivity_Day_28,Sensitivity_Day_29,Sensitivity_Day_30,Sensitivity_Day_31,Sensitivity_Day_32,Sensitivity_Day_33,Sensitivity_Day_34,Sensitivity_Day_35,Sensitivity_Day_36,Sensitivity_Day_37,Sensitivity_Day_38,Sensitivity_Day_39,Sensitivity_Day_40,Sensitivity_Day_41,Sensitivity_Day_42,Sensitivity_Day_43,Sensitivity_Day_44,Sensitivity_Day_45,Sensitivity_Day_46,Sensitivity_Day_47,Sensitivity_Day_48,Sensitivity_Day_49,Sensitivity_Day_50,Sensitivity_Day_51,Sensitivity_Day_52,Sensitivity_Day_53,Sensitivity_Day_54,Sensitivity_Day_55,Sensitivity_Day_56,Sensitivity_Day_57,Sensitivity_Day_58,Sensitivity_Day_59,Sensitivity_Day_60
RT-PCR,5.9416160737634e-24,0.0453757567902806,0.5771005808509,0.969888453516552,0.944399314381086,0.823399603559277,0.685816637521818,0.556798337219332,0.445742358399935,0.354254127641502,0.280670188771037,0.222260531487424,0.176212695787087,0.14001860257443,0.111584748072865,0.0892236779373924,0.0716015529390348,0.0576755557715497,0.0466351434249951,0.0378519495696236,0.0308390808803707,0.0252189224979178,0.0206980683288859,0.017047973177464,0.0140900934170014,0.0116844997056332,0.00972115395610793,0.00811322164320011,0.00679193594102495,0.00570264463102623,0.00480175922873564,0.00405439343825359,0.0034325294001269,0.00291358914717553,0.00247931795155199,0.00211490859185033,0.00180831216359996,0.0015496939434258,0.00133100228916029,0.00114562601083245,0.00098812115190894,0.000855460424212393,0.000763074045817117,0.000714281503409356,0.00069017736603407,0.000678174078208474,0.00067208865929601,0.000668960389338637,0.000667338296126755,0.000666493029221607,0.000666051369849508,0.000665820263795209,0.000665699240359856,0.000665635838219208,0.000665602615814614,0.000665585205489889,0.000665576081008082,0.000665571298860942,0.000665568792493861,0.00066556747887281
Abbot PanBio,3.03055367858645e-24,0.0346996428655788,0.473929386114766,0.83029048586296,0.802207843131582,0.683663457527428,0.554974441196972,0.437736661088413,0.339270946080919,0.26007771510395,0.197956589893691,0.149957962125076,0.113219996655222,0.0852718002607943,0.0640971460754741,0.0481008148640786,0.0360430905414436,0.0269708124726443,0.0201559280165447,0.0150446120975547,0.0112167202924962,0.00835415638752932,0.00621648878996061,0.00462227804054881,0.00343482761292935,0.00255132963956349,0.00189460532614655,0.00140682533802914,0.00104474069209951,0.000776066064195737,0.000576742106213818,0.000428867695359198,0.000319142010856022,0.000237693776034523,0.000177203738626312,0.000132248612647351,9.88117457056756e-05,7.39189281668752e-05,5.53678451351542e-05,4.15274154104288e-05,3.11891554220462e-05,2.34955834743202e-05,1.82180486346765e-05,1.48178561558962e-05,1.2438527398907e-05,1.06154869074001e-05,9.13497065545001e-06,7.89328372107515e-06,6.8341318926763e-06,5.92278798545642e-06,5.13517038494152e-06,4.45300692879143e-06,3.8615781573485e-06,3.34859492157646e-06,2.90359141219499e-06,2.51756081173201e-06,2.18271084356087e-06,1.89228298007556e-06,1.64040890637182e-06,1.42199138144266e-06
BTNX Rapid Response,4.14577758209086e-24,0.0387896470733519,0.513454125506637,0.883770270654195,0.856681195497589,0.737196178260756,0.605099902324237,0.483349021521667,0.380059994180598,0.296156566104252,0.229644053125576,0.177656974613187,0.137352410970528,0.106245223118976,0.082289579516728,0.0638549257879397,0.0496654874036194,0.0387337563843376,0.0303000781448524,0.0237820709600938,0.0187340189965833,0.0148150245312274,0.011764361514732,0.00938254434652195,0.00751684493505274,0.00605023422825498,0.00489294508297683,0.00397603631691154,0.00324648309732165,0.00266343137430545,0.00219534021512359,0.00181780150108776,0.00151187633463304,0.00126282552385192,0.00105914045118375,0.000891802858201167,0.000753718948053907,0.000639286257956209,0.000544061603972952,0.00046450603224816,0.000397788455484631,0.00034222014217961,0.000303571332062316,0.00028278139425863,0.000272079321918294,0.000266356243011474,0.000263111595036059,0.000261147160802733,0.000259872346923197,0.000258986317022404,0.00025833123553193,0.000257821871531137,0.000257410654381408,0.000257069905029965,0.000256782654281854,0.000256537841589843,0.00025632777659673,0.000256146779204858,0.00025599043754834,0.000255855192223206
Artron,2.83247827475727e-24,0.0324316923514887,0.44295360924452,0.776023133845773,0.749775957959583,0.638979571414525,0.518701601903053,0.409126421801589,0.317096374441643,0.243079171633104,0.185018250684953,0.140156788129973,0.105819996873835,0.079698479982311,0.0599077901228288,0.0449569707553153,0.0336873329897153,0.0252080142718179,0.0188385471004306,0.0140613041173224,0.0104836013191304,0.00780813309422675,0.00581018233310044,0.00432016836469595,0.00321032907613658,0.00238457606835019,0.00177077491267292,0.00131487596953051,0.000976456986733525,0.000725342792026081,0.000539046543716183,0.000400837127035067,0.000298283055898112,0.000222158235117234,0.000165621794925246,0.000123604912474322,9.23534616726249e-05,6.90876256723082e-05,5.17490317276277e-05,3.88132052528844e-05,2.91506485317164e-05,2.19599244237111e-05,1.70273265016911e-05,1.38493688254454e-05,1.16255517519196e-05,9.92166423371386e-06,8.53791374986505e-06,7.37738282427285e-06,6.38745660557327e-06,5.53567765960959e-06,4.79953833363816e-06,4.16196072429526e-06,3.60918742811003e-06,3.12973250840153e-06,2.71381419571166e-06,2.35301435344887e-06,2.04005000411245e-06,1.76860435392683e-06,1.5331926379815e-06,1.32905076827647e-06
