Test_Name,Sensitivity_Day_1,Sensitivity_Day_2,Sensitivity_Day_3,Sensitivity_Day_4,Sensitivity_Day_5,Sensitivity_Day_6,Sensitivity_Day_7,Sensitivity_Day_8,Sensitivity_Day_9,Sensitivity_Day_10,Sensitivity_Day_11,Sensitivity_Day_12,Sensitivity_Day_13,Sensitivity_Day_14,Sensitivity_Day_15,Sensitivity_Day_16,Sensitivity_Day_17,Sensitivity_Day_18,Sensitivity_Day_19,Sensitivity_Day_20,Sensitivity_Day_21,Sensitivity_Day_22,Sensitivity_Day_23,Sensitivity_Day_24,Sensitivity_Day_25,Sensitivity_Day_26,Sensitivity_Day_27,Sensitivity_Day_28,Sensitivity_Day_29,Sensitivity_Day_30,Sensitivity_Day_31,Sensitivity_Day_32,Sensitivity_Day_33,Sensitivity_Day_34,Sensitivity_Day_35,Sensitivity_Day_36,Sensitivity_Day_37,Sensitivity_Day_38,Sensitivity_Day_39,Sensitivity_Day_40,Sensitivity_Day_41,Sensitivity_Day_42,Sensitivity_Day_43,Sensitivity_Day_44,Sensitivity_Day_45,Sensitivity_Day_46,Sensitivity_Day_47,Sensitivity_Day_48,Sensitivity_Day_49,Sensitivity_Day_50,Sensitivity_Day_51,Sensitivity_Day_52,Sensitivity_Day_53,Sensitivity_Day_54,Sensitivity_Day_55,Sensitivity_Day_56,Sensitivity_Day_57,Sensitivity_Day_58,Sensitivity_Day_59,Sensitivity_Day_60
RT-PCR,0.00157951657429985,0.351521971497841,0.93130503826635,0.947239648062464,0.826809350971368,0.689613994010724,0.560505267474982,0.449126198599512,0.357226916927487,0.283222052201006,0.224419836558861,0.178023637852894,0.141529260749974,0.112841149034899,0.0902671875584611,0.0724680410460583,0.0583954579950142,0.047233933722489,0.0383507659171338,0.0312553689698015,0.0255670353606655,0.0209897953742869,0.0172929929996653,0.0142963537760787,0.0118585324830326,0.00986833410625722,0.00823797897524893,0.00689792781620378,0.00579289648049515,0.00487877888343034,0.00412026407298629,0.00348898521200659,0.00296207697306676,0.00252104756063264,0.00215089374663893,0.00183940424728069,0.00157660951554608,0.00135434573261269,0.0011659081707649,0.00100577470968452,0.000870160370979349,0.000771934903247851,0.000718805250938932,0.000692461316294123,0.000679346675340873,0.000672700487098862,0.000669319502467727,0.000668513874124497,0.0006717075934994,0.000680896944291892,0.000698590116492717,0.000727857972460612,0.00077170949467122,0.000831039152141809,0.000900320180486889,0.000969633883861585,0.00103688427563226,0.00110236616970211,0.00116631752882758,0.00122892796375536
Abbot PanBio,0.00114790070578092,0.283765821385306,0.792710094715626,0.805009060049199,0.686912260709623,0.558470764564959,0.441062518526758,0.342235074005925,0.262619188244198,0.200082497293049,0.151706894138977,0.114641981931274,0.0864179486990942,0.0650147552595662,0.0488314336486817,0.0366221090824432,0.0274277884844949,0.0205152213483557,0.0153261080427028,0.0114365328510295,0.00852526522174569,0.00634929384621117,0.00472507187623029,0.0035141918747824,0.00261246475554446,0.00194160258323548,0.00144289003749654,0.00107237405260221,0.00079721260945311,0.000592908360807172,0.000441217184105995,0.000328570835564026,0.000244890380678245,0.000182695912090757,0.000136440258016508,0.000102011509177634,7.63623920387657e-05,5.72346672938764e-05,4.29545215885429e-05,3.22808641637388e-05,2.43135266909701e-05,1.87581038647513e-05,1.51837716110365e-05,1.27126270500475e-05,1.08368446527927e-05,9.32173434789904e-06,8.07556764611788e-06,7.66664268214002e-06,8.98182441980347e-06,1.10880350459152e-05,1.33798715951478e-05,1.58844750205827e-05,1.87624430826475e-05,2.21477744556062e-05,2.59850849409685e-05,3.00282678429026e-05,3.42040178633068e-05,3.85053584799192e-05,4.29266059249183e-05,4.74628262520049e-05
BTNX Rapid Response,0.00131325213710085,0.309723107062221,0.845805622385763,0.859497397992309,0.740506638950742,0.608711551056858,0.486820867419598,0.383184913286849,0.298863275852444,0.231933143680323,0.17956311996744,0.138923405044909,0.10753101472422,0.0833369793537782,0.0647054126113014,0.050354635130476,0.0392914590575389,0.030751122426897,0.0241468220453017,0.0190291010542774,0.0150539433594727,0.0119580493611923,0.00953982475732088,0.0076448229130255,0.00615462027931458,0.00497832226529451,0.00404607903900168,0.00330413549443268,0.00271105206427485,0.00223481932158675,0.00185065486547985,0.00153932113189132,0.00128584073719892,0.00107851513519412,0.000908174552249325,0.000767604220112888,0.000651104952030299,0.00055415608950052,0.000473156482963149,0.000405224985264656,0.000348356261404265,0.000307299074896023,0.000284740169325385,0.000273123392506933,0.000266942019226254,0.000263461200190521,0.000261397187746791,0.000260836286276958,0.000262871133137621,0.000267690884785219,0.000275882951330555,0.000288640519110284,0.000307215398057424,0.00033203292196356,0.00036094162858673,0.000389989855951468,0.000418329412388878,0.00044606893686363,0.000473296086248193,0.000500080456394137
Artron,0.0010728745158606,0.265219035673848,0.740898977413951,0.752394088804154,0.642016034519451,0.521969407403851,0.412234902936774,0.319866768515342,0.245454535417779,0.187005209888275,0.14179141086192,0.107149041935766,0.0807697167579769,0.0607654248504442,0.0456398366781796,0.0342285071816299,0.0256351225704756,0.0191743572079403,0.014324401634683,0.0106890470437727,0.00796805834450741,0.00593430732031502,0.0044162436490257,0.00328450613133257,0.00244171542511672,0.00181470045361224,0.00134858349909808,0.00100228424524259,0.000745107210142449,0.000554156180362258,0.000412379459654623,0.000307095617553305,0.000228884473444373,0.00017075500280378,0.000127522594093861,9.5344090277135e-05,7.13713860231601e-05,5.34938393661721e-05,4.01470365173963e-05,3.01710037608801e-05,2.27244072994035e-05,1.753208400431e-05,1.41913682377661e-05,1.18817363931816e-05,1.01285541526102e-05,8.71247066502982e-06,7.54775276728664e-06,7.16555492513741e-06,8.3947770721039e-06,1.03633268729796e-05,1.25053701837002e-05,1.48462740388452e-05,1.75361396131934e-05,2.07002074977234e-05,2.42867133761994e-05,2.80656359577456e-05,3.19684611402149e-05,3.59886683831925e-05,4.01209454069498e-05,4.43606807453379e-05
